Entry no,corona_GMA,corona_MPC,corona_AcETMAC,corona_MAA,corona_DMA,corona_PEG,corona_CysMA,corona_GluMA,corona_DMAPS,corona_AEMA,corona_QDMAEMA,corona_HPMAm,corona_KSPMA,corona_MAcEPyr,corona_nHeavyAtom,corona_nH,corona_nC,corona_nN,corona_nO,corona_nS,corona_nP,corona_nF,corona_nCl,corona_nBase,corona_nBondsS,corona_nBondsD,corona_nHBAcc_Lipinski,corona_nHBDon_Lipinski,corona_HybRatio,corona_nRing,corona_n3Ring,corona_n5Ring,corona_n6Ring,corona_nRotB,corona_nRotBt,corona_CrippenLogP,corona_CrippenMR,clogp_corona,mon_corona_mw,mon_corona_apol,mon_corona_mv,mon_corona_psa,dp_corona,corona_mw_total,corona_mv_total,core_BzMA,core_DAAM,core_EGEMA,core_GlyMA,core_HBMA,core_HEMA,core_HPMA,core_MEMA,core_PhA,core_TFMA,core_EGDMA,core_cyclic,core_nHeavyAtom,core_nH,core_nC,core_nN,core_nO,core_nS,core_nP,core_nF,core_nCl,core_nBase,core_nBondsS,core_nBondsD,core_nHBAcc_Lipinski,core_nHBDon_Lipinski,core_HybRatio,core_nRing,core_n3Ring,core_n5Ring,core_n6Ring,core_nRotB,core_nRotBt,core_CrippenLogP,core_CrippenMR,clogp_core,mon_core_mw,mon_core_apol,mon_core_mv,mon_core_psa,dp_core,core_mw_total,core_mv_total,ratio_mass,ratio_vol,conc,ph,salt,charged,temp,initiator,sphere,worm,vesicle,other,no_assem,precipitate,cophases
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,4,2,0,1,0,0,0,0,0,7,0,1,0,1.000,1,1,0,0,0,0,0.0166,10.819,0.16,44.03,6.989172,0.3405,12.53,113,4975.39,38.4765,0,0,0,0,0,0,1,0,0,0,0,0,10,12,7,0,3,0,0,0,0,0,19,2,3,1,0.571,0,0,0,0,4,7,0.64658,40.4268,1.1,144.08,22.727516,1.185,46.53,100,14408,118.5,0.25668317,0.245109937,10,7,0,0,37,VA-044,1,0,0,0,0,0,0
2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,4,2,0,1,0,0,0,0,0,7,0,1,0,1.000,1,1,0,0,0,0,0.0166,10.819,0.16,44.03,6.989172,0.3405,12.53,113,4975.39,38.4765,0,0,0,0,0,0,1,0,0,0,0,0,10,12,7,0,3,0,0,0,0,0,19,2,3,1,0.571,0,0,0,0,4,7,0.64658,40.4268,1.1,144.08,22.727516,1.185,46.53,200,28816,237,0.147238394,0.139672531,10,7,0,0,37,VA-044,1,1,0,0,0,0,1
3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,4,2,0,1,0,0,0,0,0,7,0,1,0,1.000,1,1,0,0,0,0,0.0166,10.819,0.16,44.03,6.989172,0.3405,12.53,113,4975.39,38.4765,0,0,0,0,0,0,1,0,0,0,0,0,10,12,7,0,3,0,0,0,0,0,19,2,3,1,0.571,0,0,0,0,4,7,0.64658,40.4268,1.1,144.08,22.727516,1.185,46.53,300,43224,355.5,0.103225165,0.097661916,10,7,0,0,37,VA-044,1,1,0,0,0,0,1
4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,4,2,0,1,0,0,0,0,0,7,0,1,0,1.000,1,1,0,0,0,0,0.0166,10.819,0.16,44.03,6.989172,0.3405,12.53,113,4975.39,38.4765,0,0,0,0,0,0,1,0,0,0,0,0,10,12,7,0,3,0,0,0,0,0,19,2,3,1,0.571,0,0,0,0,4,7,0.64658,40.4268,1.1,144.08,22.727516,1.185,46.53,100,14408,118.5,0.25668317,0.245109937,15,7,0,0,37,VA-044,1,1,0,0,0,0,1
5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,4,2,0,1,0,0,0,0,0,7,0,1,0,1.000,1,1,0,0,0,0,0.0166,10.819,0.16,44.03,6.989172,0.3405,12.53,113,4975.39,38.4765,0,0,0,0,0,0,1,0,0,0,0,0,10,12,7,0,3,0,0,0,0,0,19,2,3,1,0.571,0,0,0,0,4,7,0.64658,40.4268,1.1,144.08,22.727516,1.185,46.53,100,14408,118.5,0.25668317,0.245109937,20,7,0,0,37,VA-044,1,1,0,0,0,0,1
6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,4,2,0,1,0,0,0,0,0,7,0,1,0,1.000,1,1,0,0,0,0,0.0166,10.819,0.16,44.03,6.989172,0.3405,12.53,113,4975.39,38.4765,0,0,0,0,0,0,1,0,0,0,0,0,10,12,7,0,3,0,0,0,0,0,19,2,3,1,0.571,0,0,0,0,4,7,0.64658,40.4268,1.1,144.08,22.727516,1.185,46.53,100,14408,118.5,0.25668317,0.245109937,25,7,0,0,37,VA-044,0,1,0,0,0,0,0
7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,4,2,0,1,0,0,0,0,0,7,0,1,0,1.000,1,1,0,0,0,0,0.0166,10.819,0.16,44.03,6.989172,0.3405,12.53,113,4975.39,38.4765,0,0,0,0,0,0,1,0,0,0,0,0,10,12,7,0,3,0,0,0,0,0,19,2,3,1,0.571,0,0,0,0,4,7,0.64658,40.4268,1.1,144.08,22.727516,1.185,46.53,200,28816,237,0.147238394,0.139672531,15,7,0,0,37,VA-044,0,1,0,0,0,0,0
8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,4,2,0,1,0,0,0,0,0,7,0,1,0,1.000,1,1,0,0,0,0,0.0166,10.819,0.16,44.03,6.989172,0.3405,12.53,113,4975.39,38.4765,0,0,0,0,0,0,1,0,0,0,0,0,10,12,7,0,3,0,0,0,0,0,19,2,3,1,0.571,0,0,0,0,4,7,0.64658,40.4268,1.1,144.08,22.727516,1.185,46.53,200,28816,237,0.147238394,0.139672531,20,7,0,0,37,VA-044,0,1,0,0,0,0,0
9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,4,2,0,1,0,0,0,0,0,7,0,1,0,1.000,1,1,0,0,0,0,0.0166,10.819,0.16,44.03,6.989172,0.3405,12.53,113,4975.39,38.4765,0,0,0,0,0,0,1,0,0,0,0,0,10,12,7,0,3,0,0,0,0,0,19,2,3,1,0.571,0,0,0,0,4,7,0.64658,40.4268,1.1,144.08,22.727516,1.185,46.53,200,28816,237,0.147238394,0.139672531,25,7,0,0,37,VA-044,0,1,0,0,0,0,0
10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,4,2,0,1,0,0,0,0,0,7,0,1,0,1.000,1,1,0,0,0,0,0.0166,10.819,0.16,44.03,6.989172,0.3405,12.53,113,4975.39,38.4765,0,0,0,0,0,0,1,0,0,0,0,0,10,12,7,0,3,0,0,0,0,0,19,2,3,1,0.571,0,0,0,0,4,7,0.64658,40.4268,1.1,144.08,22.727516,1.185,46.53,300,43224,355.5,0.103225165,0.097661916,15,7,0,0,37,VA-044,0,1,1,0,0,0,1
11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,4,2,0,1,0,0,0,0,0,7,0,1,0,1.000,1,1,0,0,0,0,0.0166,10.819,0.16,44.03,6.989172,0.3405,12.53,113,4975.39,38.4765,0,0,0,0,0,0,1,0,0,0,0,0,10,12,7,0,3,0,0,0,0,0,19,2,3,1,0.571,0,0,0,0,4,7,0.64658,40.4268,1.1,144.08,22.727516,1.185,46.53,300,43224,355.5,0.103225165,0.097661916,20,7,0,0,37,VA-044,0,1,1,0,0,0,1
12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,4,2,0,1,0,0,0,0,0,7,0,1,0,1.000,1,1,0,0,0,0,0.0166,10.819,0.16,44.03,6.989172,0.3405,12.53,113,4975.39,38.4765,0,0,0,0,0,0,1,0,0,0,0,0,10,12,7,0,3,0,0,0,0,0,19,2,3,1,0.571,0,0,0,0,4,7,0.64658,40.4268,1.1,144.08,22.727516,1.185,46.53,300,43224,355.5,0.103225165,0.097661916,25,7,0,0,37,VA-044,0,1,1,0,0,0,1
13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,7,0,4,0,0,0,0,0,20,2,4,2,0.571,0,0,0,0,5,8,-0.38102,41.8386,0.09,160.07,23.529516,1.2437,66.76,54,8643.78,67.1598,0,0,0,0,0,0,1,0,0,0,0,0,10,12,7,0,3,0,0,0,0,0,19,2,3,1,0.571,0,0,0,0,4,7,0.64658,40.4268,1.1,144.08,22.727516,1.185,46.53,90,12967.2,106.65,0.399971681,0.386398235,10,7,0,0,70,ACVA,1,0,0,0,0,0,0
14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,7,0,4,0,0,0,0,0,20,2,4,2,0.571,0,0,0,0,5,8,-0.38102,41.8386,0.09,160.07,23.529516,1.2437,66.76,54,8643.78,67.1598,0,0,0,0,0,0,1,0,0,0,0,0,10,12,7,0,3,0,0,0,0,0,19,2,3,1,0.571,0,0,0,0,4,7,0.64658,40.4268,1.1,144.08,22.727516,1.185,46.53,130,18730.4,154.05,0.315763979,0.303602282,10,7,0,0,70,ACVA,0,1,0,0,0,0,0
15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,7,0,4,0,0,0,0,0,20,2,4,2,0.571,0,0,0,0,5,8,-0.38102,41.8386,0.09,160.07,23.529516,1.2437,66.76,54,8643.78,67.1598,0,0,0,0,0,0,1,0,0,0,0,0,10,12,7,0,3,0,0,0,0,0,19,2,3,1,0.571,0,0,0,0,4,7,0.64658,40.4268,1.1,144.08,22.727516,1.185,46.53,135,19450.8,159.975,0.307667173,0.295682564,10,7,0,0,70,ACVA,0,1,0,0,0,0,0
16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,7,0,4,0,0,0,0,0,20,2,4,2,0.571,0,0,0,0,5,8,-0.38102,41.8386,0.09,160.07,23.529516,1.2437,66.76,54,8643.78,67.1598,0,0,0,0,0,0,1,0,0,0,0,0,10,12,7,0,3,0,0,0,0,0,19,2,3,1,0.571,0,0,0,0,4,7,0.64658,40.4268,1.1,144.08,22.727516,1.185,46.53,140,20171.2,165.9,0.299975221,0.288165527,10,7,0,0,70,ACVA,0,1,0,0,0,0,0
17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,7,0,4,0,0,0,0,0,20,2,4,2,0.571,0,0,0,0,5,8,-0.38102,41.8386,0.09,160.07,23.529516,1.2437,66.76,54,8643.78,67.1598,0,0,0,0,0,0,1,0,0,0,0,0,10,12,7,0,3,0,0,0,0,0,19,2,3,1,0.571,0,0,0,0,4,7,0.64658,40.4268,1.1,144.08,22.727516,1.185,46.53,145,20891.6,171.825,0.2926585,0.28102122,10,7,0,0,70,ACVA,0,1,0,0,0,0,0
18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,7,0,4,0,0,0,0,0,20,2,4,2,0.571,0,0,0,0,5,8,-0.38102,41.8386,0.09,160.07,23.529516,1.2437,66.76,54,8643.78,67.1598,0,0,0,0,0,0,1,0,0,0,0,0,10,12,7,0,3,0,0,0,0,0,19,2,3,1,0.571,0,0,0,0,4,7,0.64658,40.4268,1.1,144.08,22.727516,1.185,46.53,150,21612,177.75,0.285690205,0.274222591,10,7,0,0,70,ACVA,0,1,0,0,0,0,0
19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,7,0,4,0,0,0,0,0,20,2,4,2,0.571,0,0,0,0,5,8,-0.38102,41.8386,0.09,160.07,23.529516,1.2437,66.76,54,8643.78,67.1598,0,0,0,0,0,0,1,0,0,0,0,0,10,12,7,0,3,0,0,0,0,0,19,2,3,1,0.571,0,0,0,0,4,7,0.64658,40.4268,1.1,144.08,22.727516,1.185,46.53,155,22332.4,183.675,0.279046028,0.267745145,10,7,0,0,70,ACVA,0,1,0,0,0,0,0
20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,7,0,4,0,0,0,0,0,20,2,4,2,0.571,0,0,0,0,5,8,-0.38102,41.8386,0.09,160.07,23.529516,1.2437,66.76,54,8643.78,67.1598,0,0,0,0,0,0,1,0,0,0,0,0,10,12,7,0,3,0,0,0,0,0,19,2,3,1,0.571,0,0,0,0,4,7,0.64658,40.4268,1.1,144.08,22.727516,1.185,46.53,160,23052.8,189.6,0.272703869,0.261566647,10,7,0,0,70,ACVA,0,1,0,0,0,0,0
21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,7,0,4,0,0,0,0,0,20,2,4,2,0.571,0,0,0,0,5,8,-0.38102,41.8386,0.09,160.07,23.529516,1.2437,66.76,54,8643.78,67.1598,0,0,0,0,0,0,1,0,0,0,0,0,10,12,7,0,3,0,0,0,0,0,19,2,3,1,0.571,0,0,0,0,4,7,0.64658,40.4268,1.1,144.08,22.727516,1.185,46.53,165,23773.2,195.525,0.266643592,0.255666868,10,7,0,0,70,ACVA,0,1,0,0,0,0,0
22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,7,0,4,0,0,0,0,0,20,2,4,2,0.571,0,0,0,0,5,8,-0.38102,41.8386,0.09,160.07,23.529516,1.2437,66.76,54,8643.78,67.1598,0,0,0,0,0,0,1,0,0,0,0,0,10,12,7,0,3,0,0,0,0,0,19,2,3,1,0.571,0,0,0,0,4,7,0.64658,40.4268,1.1,144.08,22.727516,1.185,46.53,170,24493.6,201.45,0.260846814,0.250027363,10,7,0,0,70,ACVA,0,1,1,0,0,0,1
23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,7,0,4,0,0,0,0,0,20,2,4,2,0.571,0,0,0,0,5,8,-0.38102,41.8386,0.09,160.07,23.529516,1.2437,66.76,54,8643.78,67.1598,0,0,0,0,0,0,1,0,0,0,0,0,10,12,7,0,3,0,0,0,0,0,19,2,3,1,0.571,0,0,0,0,4,7,0.64658,40.4268,1.1,144.08,22.727516,1.185,46.53,180,25934.4,213.3,0.249977876,0.239463196,10,7,0,0,70,ACVA,0,1,1,0,0,0,1
