Entry no,corona_GMA,corona_MPC,corona_AcETMAC,corona_MAA,corona_DMA,corona_PEG,corona_CysMA,corona_GluMA,corona_DMAPS,corona_AEMA,corona_QDMAEMA,corona_HPMAm,corona_KSPMA,corona_MAcEPyr,corona_nHeavyAtom,corona_nH,corona_nC,corona_nN,corona_nO,corona_nS,corona_nP,corona_nF,corona_nCl,corona_nBase,corona_nBondsS,corona_nBondsD,corona_nHBAcc_Lipinski,corona_nHBDon_Lipinski,corona_HybRatio,corona_nRing,corona_n3Ring,corona_n5Ring,corona_n6Ring,corona_nRotB,corona_nRotBt,corona_CrippenLogP,corona_CrippenMR,clogp_corona,mon_corona_mw,mon_corona_apol,mon_corona_mv,mon_corona_psa,dp_corona,corona_mw_total,corona_mv_total,core_BzMA,core_DAAM,core_EGEMA,core_GlyMA,core_HBMA,core_HEMA,core_HPMA,core_MEMA,core_PhA,core_TFMA,core_EGDMA,core_cyclic,core_nHeavyAtom,core_nH,core_nC,core_nN,core_nO,core_nS,core_nP,core_nF,core_nCl,core_nBase,core_nBondsS,core_nBondsD,core_nHBAcc_Lipinski,core_nHBDon_Lipinski,core_HybRatio,core_nRing,core_n3Ring,core_n5Ring,core_n6Ring,core_nRotB,core_nRotBt,core_CrippenLogP,core_CrippenMR,clogp_core,mon_core_mw,mon_core_apol,mon_core_mv,mon_core_psa,dp_core,core_mw_total,core_mv_total,ratio_mass,ratio_vol,conc,ph,salt,charged,temp,initiator,sphere,worm,vesicle,other,no_assem,precipitate,cophases
24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,7,0,4,0,0,0,0,0,20,2,4,2,0.571,0,0,0,0,5,8,-0.38102,41.8386,0.09,160.07,23.529516,1.2437,66.76,54,8643.78,67.1598,0,0,0,0,0,0,1,0,0,0,0,0,10,12,7,0,3,0,0,0,0,0,19,2,3,1,0.571,0,0,0,0,4,7,0.64658,40.4268,1.1,144.08,22.727516,1.185,46.53,220,31697.6,260.7,0.214265848,0.204843046,10,7,0,0,70,ACVA,0,0,1,0,0,0,0
25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,7,0,4,0,0,0,0,0,20,2,4,2,0.571,0,0,0,0,5,8,-0.38102,41.8386,0.09,160.07,23.529516,1.2437,66.76,37,5922.59,46.0169,0,0,0,0,0,0,1,0,0,0,0,0,10,12,7,0,3,0,0,0,0,0,19,2,3,1,0.571,0,0,0,0,4,7,0.64658,40.4268,1.1,144.08,22.727516,1.185,46.53,80,11526.4,94.8,0.339423084,0.32678535,10,7,0,0,70,ACVA,0,1,0,0,0,0,0
26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,7,0,4,0,0,0,0,0,20,2,4,2,0.571,0,0,0,0,5,8,-0.38102,41.8386,0.09,160.07,23.529516,1.2437,66.76,54,8643.78,67.1598,0,0,0,0,0,0,1,0,0,0,0,0,10,12,7,0,3,0,0,0,0,0,19,2,3,1,0.571,0,0,0,0,4,7,0.64658,40.4268,1.1,144.08,22.727516,1.185,46.53,140,20171.2,165.9,0.299975221,0.288165527,20,7,0,0,70,ACVA,0,1,0,0,0,0,0
27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,7,0,4,0,0,0,0,0,20,2,4,2,0.571,0,0,0,0,5,8,-0.38102,41.8386,0.09,160.07,23.529516,1.2437,66.76,71,11364.97,88.3027,0,0,0,0,0,0,1,0,0,0,0,0,10,12,7,0,3,0,0,0,0,0,19,2,3,1,0.571,0,0,0,0,4,7,0.64658,40.4268,1.1,144.08,22.727516,1.185,46.53,200,28816,237,0.28284459,0.271447793,20,7,0,0,70,ACVA,0,1,0,0,0,0,0
28,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,9,5,1,1,0,0,0,0,0,13,2,2,0,0.400,0,0,0,0,2,4,0.42068,31.864,-0.13,99.07,16.703137,0.8856,20.31,30,2972.1,26.568,0,1,0,0,0,0,0,0,0,0,0,0,12,15,9,1,2,0,0,0,0,0,23,3,3,1,0.556,0,0,0,0,5,8,1.20638,50.6897,0.69,169.11,28.545895,1.4649,46.17,200,33822,292.98,0.080776538,0.083142439,12,7,0,0,70,V-50,0,0,1,0,0,0,0
29,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,9,5,1,1,0,0,0,0,0,13,2,2,0,0.400,0,0,0,0,2,4,0.42068,31.864,-0.13,99.07,16.703137,0.8856,20.31,30,2972.1,26.568,0,1,0,0,0,0,0,0,0,0,0,0,12,15,9,1,2,0,0,0,0,0,23,3,3,1,0.556,0,0,0,0,5,8,1.20638,50.6897,0.69,169.11,28.545895,1.4649,46.17,150,25366.5,219.735,0.104878152,0.107867139,12,7,0,0,70,V-50,0,0,0,1,0,0,0
30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,9,5,1,1,0,0,0,0,0,13,2,2,0,0.400,0,0,0,0,2,4,0.42068,31.864,-0.13,99.07,16.703137,0.8856,20.31,30,2972.1,26.568,0,1,0,0,0,0,0,0,0,0,0,0,12,15,9,1,2,0,0,0,0,0,23,3,3,1,0.556,0,0,0,0,5,8,1.20638,50.6897,0.69,169.11,28.545895,1.4649,46.17,100,16911,146.49,0.149478703,0.153520785,12,7,0,0,70,V-50,0,0,0,1,0,0,0
31,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,9,5,1,1,0,0,0,0,0,13,2,2,0,0.400,0,0,0,0,2,4,0.42068,31.864,-0.13,99.07,16.703137,0.8856,20.31,30,2972.1,26.568,0,1,0,0,0,0,0,0,0,0,0,0,12,15,9,1,2,0,0,0,0,0,23,3,3,1,0.556,0,0,0,0,5,8,1.20638,50.6897,0.69,169.11,28.545895,1.4649,46.17,200,33822,292.98,0.080776538,0.083142439,20,7,0,0,70,V-50,0,0,1,0,0,0,0
32,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,9,5,1,1,0,0,0,0,0,13,2,2,0,0.400,0,0,0,0,2,4,0.42068,31.864,-0.13,99.07,16.703137,0.8856,20.31,30,2972.1,26.568,0,1,0,0,0,0,0,0,0,0,0,0,12,15,9,1,2,0,0,0,0,0,23,3,3,1,0.556,0,0,0,0,5,8,1.20638,50.6897,0.69,169.11,28.545895,1.4649,46.17,150,25366.5,219.735,0.104878152,0.107867139,20,7,0,0,70,V-50,0,0,0,1,0,0,0
33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,9,5,1,1,0,0,0,0,0,13,2,2,0,0.400,0,0,0,0,2,4,0.42068,31.864,-0.13,99.07,16.703137,0.8856,20.31,30,2972.1,26.568,0,1,0,0,0,0,0,0,0,0,0,0,12,15,9,1,2,0,0,0,0,0,23,3,3,1,0.556,0,0,0,0,5,8,1.20638,50.6897,0.69,169.11,28.545895,1.4649,46.17,100,16911,146.49,0.149478703,0.153520785,20,7,0,0,70,V-50,0,0,0,1,0,0,0
34,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,9,5,1,1,0,0,0,0,0,13,2,2,0,0.400,0,0,0,0,2,4,0.42068,31.864,-0.13,99.07,16.703137,0.8856,20.31,30,2972.1,26.568,0,1,0,0,0,0,0,0,0,0,0,0,12,15,9,1,2,0,0,0,0,0,23,3,3,1,0.556,0,0,0,0,5,8,1.20638,50.6897,0.69,169.11,28.545895,1.4649,46.17,170,28748.7,249.033,0.093695619,0.096400231,30,7,0,0,70,V-50,0,0,1,0,0,0,0
35,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,9,5,1,1,0,0,0,0,0,13,2,2,0,0.400,0,0,0,0,2,4,0.42068,31.864,-0.13,99.07,16.703137,0.8856,20.31,30,2972.1,26.568,0,1,0,0,0,0,0,0,0,0,0,0,12,15,9,1,2,0,0,0,0,0,23,3,3,1,0.556,0,0,0,0,5,8,1.20638,50.6897,0.69,169.11,28.545895,1.4649,46.17,150,25366.5,219.735,0.104878152,0.107867139,30,7,0,0,70,V-50,0,0,1,1,0,0,1
36,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,9,5,1,1,0,0,0,0,0,13,2,2,0,0.400,0,0,0,0,2,4,0.42068,31.864,-0.13,99.07,16.703137,0.8856,20.31,30,2972.1,26.568,0,1,0,0,0,0,0,0,0,0,0,0,12,15,9,1,2,0,0,0,0,0,23,3,3,1,0.556,0,0,0,0,5,8,1.20638,50.6897,0.69,169.11,28.545895,1.4649,46.17,100,16911,146.49,0.149478703,0.153520785,30,7,0,0,70,V-50,0,0,1,1,0,0,1
37,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,9,5,1,1,0,0,0,0,0,13,2,2,0,0.400,0,0,0,0,2,4,0.42068,31.864,-0.13,99.07,16.703137,0.8856,20.31,35,3467.45,30.996,0,1,0,0,0,0,0,0,0,0,0,0,12,15,9,1,2,0,0,0,0,0,23,3,3,1,0.556,0,0,0,0,5,8,1.20638,50.6897,0.69,169.11,28.545895,1.4649,46.17,100,16911,146.49,0.170152784,0.174639126,10,7,0,0,70,V-50,1,0,0,0,0,0,0
38,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,9,5,1,1,0,0,0,0,0,13,2,2,0,0.400,0,0,0,0,2,4,0.42068,31.864,-0.13,99.07,16.703137,0.8856,20.31,35,3467.45,30.996,0,1,0,0,0,0,0,0,0,0,0,0,12,15,9,1,2,0,0,0,0,0,23,3,3,1,0.556,0,0,0,0,5,8,1.20638,50.6897,0.69,169.11,28.545895,1.4649,46.17,100,16911,146.49,0.170152784,0.174639126,15,7,0,0,70,V-50,1,0,0,0,0,0,0
39,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,9,5,1,1,0,0,0,0,0,13,2,2,0,0.400,0,0,0,0,2,4,0.42068,31.864,-0.13,99.07,16.703137,0.8856,20.31,35,3467.45,30.996,0,1,0,0,0,0,0,0,0,0,0,0,12,15,9,1,2,0,0,0,0,0,23,3,3,1,0.556,0,0,0,0,5,8,1.20638,50.6897,0.69,169.11,28.545895,1.4649,46.17,100,16911,146.49,0.170152784,0.174639126,20,7,0,0,70,V-50,1,0,0,0,0,0,0
40,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,9,5,1,1,0,0,0,0,0,13,2,2,0,0.400,0,0,0,0,2,4,0.42068,31.864,-0.13,99.07,16.703137,0.8856,20.31,35,3467.45,30.996,0,1,0,0,0,0,0,0,0,0,0,0,12,15,9,1,2,0,0,0,0,0,23,3,3,1,0.556,0,0,0,0,5,8,1.20638,50.6897,0.69,169.11,28.545895,1.4649,46.17,150,25366.5,219.735,0.12025581,0.123622528,15,7,0,0,70,V-50,1,0,0,0,0,0,0
41,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,9,5,1,1,0,0,0,0,0,13,2,2,0,0.400,0,0,0,0,2,4,0.42068,31.864,-0.13,99.07,16.703137,0.8856,20.31,35,3467.45,30.996,0,1,0,0,0,0,0,0,0,0,0,0,12,15,9,1,2,0,0,0,0,0,23,3,3,1,0.556,0,0,0,0,5,8,1.20638,50.6897,0.69,169.11,28.545895,1.4649,46.17,200,33822,292.98,0.092987427,0.095673754,10,7,0,0,70,V-50,1,0,0,0,0,0,0
42,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,9,5,1,1,0,0,0,0,0,13,2,2,0,0.400,0,0,0,0,2,4,0.42068,31.864,-0.13,99.07,16.703137,0.8856,20.31,35,3467.45,30.996,0,1,0,0,0,0,0,0,0,0,0,0,12,15,9,1,2,0,0,0,0,0,23,3,3,1,0.556,0,0,0,0,5,8,1.20638,50.6897,0.69,169.11,28.545895,1.4649,46.17,200,33822,292.98,0.092987427,0.095673754,12.5,7,0,0,70,V-50,1,0,0,0,0,0,0
43,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,9,5,1,1,0,0,0,0,0,13,2,2,0,0.400,0,0,0,0,2,4,0.42068,31.864,-0.13,99.07,16.703137,0.8856,20.31,35,3467.45,30.996,0,1,0,0,0,0,0,0,0,0,0,0,12,15,9,1,2,0,0,0,0,0,23,3,3,1,0.556,0,0,0,0,5,8,1.20638,50.6897,0.69,169.11,28.545895,1.4649,46.17,200,33822,292.98,0.092987427,0.095673754,15,7,0,0,70,V-50,0,0,1,0,0,0,0
44,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,9,5,1,1,0,0,0,0,0,13,2,2,0,0.400,0,0,0,0,2,4,0.42068,31.864,-0.13,99.07,16.703137,0.8856,20.31,35,3467.45,30.996,0,1,0,0,0,0,0,0,0,0,0,0,12,15,9,1,2,0,0,0,0,0,23,3,3,1,0.556,0,0,0,0,5,8,1.20638,50.6897,0.69,169.11,28.545895,1.4649,46.17,200,33822,292.98,0.092987427,0.095673754,20,7,0,0,70,V-50,0,0,1,0,0,0,0
45,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,9,5,1,1,0,0,0,0,0,13,2,2,0,0.400,0,0,0,0,2,4,0.42068,31.864,-0.13,99.07,16.703137,0.8856,20.31,35,3467.45,30.996,0,1,0,0,0,0,0,0,0,0,0,0,12,15,9,1,2,0,0,0,0,0,23,3,3,1,0.556,0,0,0,0,5,8,1.20638,50.6897,0.69,169.11,28.545895,1.4649,46.17,300,50733,439.47,0.063974561,0.065883613,10,7,0,0,70,V-50,1,0,0,0,0,0,0
46,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,9,5,1,1,0,0,0,0,0,13,2,2,0,0.400,0,0,0,0,2,4,0.42068,31.864,-0.13,99.07,16.703137,0.8856,20.31,35,3467.45,30.996,0,1,0,0,0,0,0,0,0,0,0,0,12,15,9,1,2,0,0,0,0,0,23,3,3,1,0.556,0,0,0,0,5,8,1.20638,50.6897,0.69,169.11,28.545895,1.4649,46.17,300,50733,439.47,0.063974561,0.065883613,15,7,0,0,70,V-50,0,0,1,0,0,0,0
47,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,9,5,1,1,0,0,0,0,0,13,2,2,0,0.400,0,0,0,0,2,4,0.42068,31.864,-0.13,99.07,16.703137,0.8856,20.31,35,3467.45,30.996,0,1,0,0,0,0,0,0,0,0,0,0,12,15,9,1,2,0,0,0,0,0,23,3,3,1,0.556,0,0,0,0,5,8,1.20638,50.6897,0.69,169.11,28.545895,1.4649,46.17,300,50733,439.47,0.063974561,0.065883613,20,7,0,0,70,V-50,0,0,1,0,0,0,0
48,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,9,5,1,1,0,0,0,0,0,13,2,2,0,0.400,0,0,0,0,2,4,0.42068,31.864,-0.13,99.07,16.703137,0.8856,20.31,35,3467.45,30.996,0,1,0,0,0,0,0,0,0,0,0,0,12,15,9,1,2,0,0,0,0,0,23,3,3,1,0.556,0,0,0,0,5,8,1.20638,50.6897,0.69,169.11,28.545895,1.4649,46.17,300,50733,439.47,0.063974561,0.065883613,20,7,0,0,60,V-50,0,0,1,0,0,0,0
49,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,9,5,1,1,0,0,0,0,0,13,2,2,0,0.400,0,0,0,0,2,4,0.42068,31.864,-0.13,99.07,16.703137,0.8856,20.31,35,3467.45,30.996,0,1,0,0,0,0,0,0,0,0,0,0,12,15,9,1,2,0,0,0,0,0,23,3,3,1,0.556,0,0,0,0,5,8,1.20638,50.6897,0.69,169.11,28.545895,1.4649,46.17,350,59188.5,512.715,0.055341113,0.057008227,10,7,0,0,70,V-50,1,0,0,0,0,0,0
50,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,9,5,1,1,0,0,0,0,0,13,2,2,0,0.400,0,0,0,0,2,4,0.42068,31.864,-0.13,99.07,16.703137,0.8856,20.31,35,3467.45,30.996,0,1,0,0,0,0,0,0,0,0,0,0,12,15,9,1,2,0,0,0,0,0,23,3,3,1,0.556,0,0,0,0,5,8,1.20638,50.6897,0.69,169.11,28.545895,1.4649,46.17,400,67644,585.96,0.048760783,0.050240212,10,7,0,0,70,V-50,0,0,1,0,0,0,0
51,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,9,5,1,1,0,0,0,0,0,13,2,2,0,0.400,0,0,0,0,2,4,0.42068,31.864,-0.13,99.07,16.703137,0.8856,20.31,35,3467.45,30.996,0,1,0,0,0,0,0,0,0,0,0,0,12,15,9,1,2,0,0,0,0,0,23,3,3,1,0.556,0,0,0,0,5,8,1.20638,50.6897,0.69,169.11,28.545895,1.4649,46.17,500,84555,732.45,0.039392791,0.040600121,10,7,0,0,70,V-50,0,0,1,0,0,0,0
